Action Description,Expected
"Build and install the app (Android or iOS) pointing at the staging server. Log out if a session is already active. Open a page that requires login (e.g. Add Project, or open a private project). On the login modal, switch to passwordless login. Enter the email and submit — the send-email modal opens on top of the login modal. Enter the 6-digit code — the code-entry modal opens on top of the send-email modal (3 modals stacked). Tap **Login** and watch the modal stack close. Verify: no crash, all modals gone, toast shown, no `nextSibling` error in the console.","All three modals dismiss one after the other (topmost first). No crash, no white screen, and no `nextSibling` error in the console or Rollbar. The login success toast appears and the user lands on the page they were on."
Log out. Open the login modal and enter a valid username and password. Submit and wait for the response. Verify the modal closes cleanly and the user is logged in.,"The login modal closes, the login success toast appears, no crash and no `nextSibling` error in the console or Rollbar. If a pending project update was stored, it continues after login."
Log out and open the login modal. Choose **Sign in with Google** (or **Apple**). Complete the provider flow in the system browser. Return to the app and verify the modals closed without error.,"All open modals close, the login success toast appears, no crash and no `nextSibling` error."
"Register a new account (or re-verify an email that requires confirmation). When the confirm-email modal appears, enter the verification code and submit. Verify the modal closes cleanly and the user is logged in.","The confirm-email modal (and any stacked modals) closes, the login success toast appears, no crash and no `nextSibling` error."
"Configure the staging server with a short JWT TTL (~5 minutes). Build and install the app pointing at the staging server. Log in and open a project whose structure is outdated (so the version check triggers an update). Wait for the JWT to expire. Force the project update (re-open the project / navigate into its entries) so the update request fails with an auth error — a toast appears and the login modal opens. Dismiss the login modal (swipe down) and navigate to a page with no active project (e.g. **Add Project**). Open the login modal again and complete a passwordless login (send email + enter code). Verify: no crash, user stays on the page, toast shown, no `details` error in the console or Rollbar.","After login completes there is **no crash**, no white screen, and no Rollbar error `Cannot read properties of undefined (reading 'details')`. The user stays on the current page and the login success toast appears. A console warning `updateProject skipped: no active project` may be logged (expected)."
"Using the same short-JWT staging setup, open a project with an outdated structure so an update is triggered. Let the JWT expire mid-update so an auth error occurs and the login modal appears. Complete the login immediately while still on the project page (do not navigate away). Verify the deferred update completes normally (progress dialog, result alert, entries loaded).","The deferred project update runs: the ""Updating project…"" progress dialog is shown, the update-result alert appears, and entries reload. No crash."
Run `npm run build` or build via Android Studio. Verify no SCSS/SASS compilation errors in build output. Install the APK on an Android device or emulator. Verify the app launches to the projects list.,Build completes without SCSS compilation errors. App installs and launches normally.
Run `npm run build` or build via Xcode. Verify no SCSS/SASS compilation errors in build output. Install on an iOS device or simulator. Verify the app launches to the projects list.,Build completes without SCSS compilation errors. App installs and launches normally.
Run `npm run build`. Verify no SCSS/SASS compilation errors. Serve the `dist/` folder locally (e.g. `npx serve dist`). Open in browser and verify the app loads.,`npm run build` completes. The `dist/` folder is generated with correct assets.
"Open the app. Navigate to the login screen. Verify the login card displays with correct styling: input fields, divider lines, login button, and any social login options. Verify no overlapping elements or missing styles.","All elements are properly styled: input fields have correct borders, the horizontal divider lines are visible, buttons are correctly colored and spaced."
"If LDAP is configured, navigate to LDAP login. Verify the LDAP-specific input fields and button are styled correctly. Verify no visual regressions compared to pre-refactor.",LDAP-specific fields and layout are properly styled.
Navigate to local login (if available). Verify the local-specific input fields and button are styled correctly.,Local-specific fields and layout are properly styled.
"Open a project with a text question. Verify the question label, input field, and helper text are styled correctly. Enter invalid data (if validation exists) and verify the error state styling.","Label is properly positioned, input field has correct border/styling, error state shows red border."
Open a project with integer and decimal questions. Verify input fields are styled correctly. Enter out-of-range values and verify error styling.,"Input fields show numeric keyboard hint, correct border styling, and error states."
Open a project with a date question. Verify the date input field styling. Tap to open the date picker and verify it displays correctly.,"Date input field shows calendar icon, correct styling, and opens date picker on tap."
Open a project with a time question. Verify the time input field styling. Tap to open the time picker and verify it displays correctly.,"Time input field shows clock icon, correct styling, and opens time picker on tap."
Open a project with a dropdown question. Verify the dropdown field styling. Tap to open and verify the options list styling.,"Dropdown field shows arrow icon, correct border, and opens options list on tap."
Open a project with a radio question. Verify radio button styling and spacing. Select an option and verify the selected state styling.,"Radio options show circular selectors, correct spacing, and highlight on selection."
Open a project with a checkbox question. Verify checkbox styling and spacing. Select options and verify the selected state styling.,"Checkbox options show square selectors, correct spacing, and highlight on selection."
Open a project with a barcode question. Verify the barcode input field and scan button styling.,Barcode input field and scan button are properly styled.
Open a project with a photo question. Verify the photo capture area styling. Tap to open camera and verify the camera interface.,"Photo capture area shows camera icon, correct border, and opens camera on tap."
Open a project with an audio question. Verify the audio capture area styling. Tap to open recorder and verify the recorder interface.,"Audio capture area shows microphone icon, correct border, and opens recorder on tap."
Open a project with a video question. Verify the video capture area styling.,"Video capture area shows video icon, correct border, and opens camera on tap."
"Open a project with a location question. Verify the map preview, coordinate fields, and GPS button styling. Tap GPS button and verify the location is captured.","Location input shows map preview, coordinate fields, and GPS button with correct styling."
Open a project with a phone question. Verify the phone input field styling.,"Phone input field shows phone icon, correct border, and opens dialer on tap."
Open a project with a branch question. Verify branch option styling. Navigate through branches and verify correct styling.,Branch options show correct styling and navigation.
Open a project with a group question. Verify group container and nested input styling.,"Group container shows correct styling, nested inputs are properly indented."
Open a project with a readme question. Verify readme content styling.,Readme content displays with correct typography and spacing.
Open a project with a search question. Verify search input and results styling.,"Search input shows search icon, results list displays correctly."
Open a project with a save question. Verify save button styling and state changes.,Save button shows correct styling and disabled/enabled states.
Open a project with a saved question. Verify saved value styling.,Saved value shows correct styling and edit option.
"Trigger login modal (e.g. from bookmark access). Verify modal overlay, content, and close button styling.","Modal shows with correct overlay, content area, and close button."
View a photo entry. Verify photo modal styling.,Modal shows photo preview with correct sizing and close button.
Play an audio entry. Verify audio modal styling and controls.,Modal shows audio player controls with correct styling.
Open entries list. Tap filter button. Verify filter modal styling.,Modal shows filter options with correct styling.
Open entries with branches. Tap branch filter. Verify branch filter modal styling.,Modal shows branch filter options with correct styling.
Trigger an export or transfer operation. Verify progress modal styling and progress bar animation.,Progress bars show correct styling and animation.
Open project. Tap add bookmark. Verify bookmark modal styling.,Modal shows bookmark form with correct styling.
Navigate to passwordless login. Verify modal styling.,Modal shows email input and submit button with correct styling.
Navigate to account deletion. Verify modal styling.,Modal shows warning text and confirm/cancel buttons with correct styling.
Trigger password confirmation. Verify modal styling.,Modal shows password input and confirm button with correct styling.
Trigger email confirmation. Verify modal styling.,Modal shows confirmation text with correct styling.
Edit a location entry. Verify location edit modal styling.,Modal shows map and coordinate inputs with correct styling.
Open location help. Verify modal styling.,Modal shows help text with correct styling.
Open project info. Verify modal styling.,Modal shows project details with correct styling.
Open saved answers. Verify modal styling.,Modal shows saved answers list with correct styling.
Open possible answers. Verify modal styling.,Modal shows possible answers list with correct styling.
Open a project with entries. Verify entries list styling.,"List items show correct spacing, borders, and icons."
Open an entry with answers. Verify answers list styling.,List items show correct spacing and typography.
Browse through various lists in the app. Verify list item styling.,"List items show correct padding, borders, and typography."
Open an entry with checkbox/radio questions. Verify answer list styling.,"Answer options show correct spacing, selection states, and typography."
Open saved answers. Verify saved answers list styling.,Saved answer items show correct styling.
Open projects list. Verify project list styling.,"Project items show correct spacing, logos, and typography."
Navigate to add entry. Verify toolbar styling.,Toolbar shows correct button styling and spacing.
Open entries list. Verify filter toolbar styling.,Toolbar shows correct filter button styling.
Open a form. Verify form name toolbar styling.,Toolbar shows form name with correct typography.
Swipe right or tap menu button. Verify left drawer styling.,"Drawer shows menu items with correct icons, spacing, and typography."
Open a project. Swipe left or tap actions button. Verify right drawer styling.,"Drawer shows action items with correct icons, spacing, and typography."
Open the app. Verify projects page styling.,"Page shows project list, add button, and header with correct styling."
Open a project. Verify entries page styling.,"Page shows entries list, filters, and header with correct styling."
Tap add entry. Verify entry add page styling.,Page shows form questions with correct styling.
Open an entry. Verify entry view page styling.,Page shows entry answers with correct styling.
Open entry download. Verify entry download page styling.,Page shows download options and progress with correct styling.
Open entry upload. Verify entry upload page styling.,Page shows upload options and progress with correct styling.
Open entry errors. Verify entry errors page styling.,Page shows error list with correct styling.
Open settings. Verify settings page styling.,Page shows settings options with correct styling.
Open profile. Verify profile page styling.,Page shows user profile with correct styling.
Navigate to an invalid route. Verify not found page styling.,Page shows 404 message with correct styling.
Open a location question. Verify location popover styling.,Popover shows location options with correct styling.
Open a media question. Verify media popover styling.,Popover shows media options with correct styling.
Open the app. Verify base layout styling.,"Layout shows header, content area, and footer with correct styling."
Open any modal. Verify header modal styling.,Header shows title and close button with correct styling.
Open a project with grid questions. Verify grid layout styling.,Grid layouts show correct spacing and alignment.
Trigger a validation error. Verify error divider styling.,Error dividers show red styling and correct spacing.
Browse entries list. Verify entry icon styling.,"Icons show correct size, color, and spacing."
Open file import (if available). Verify dropzone styling.,"Dropzone shows correct border, icon, and text styling."
Open a location question in PWA. Verify location PWA styling.,Location component shows map and inputs with correct styling.
Open an entry with grouped answers. Verify answer group styling.,Group shows correct container styling and nested answers.
Open an entry with a location answer. Verify answer location styling.,Location answer shows map preview with correct styling.
"Browse through multiple pages. Verify consistent typography, colors, and spacing.","All text, colors, and spacing follow the design system."
Trigger validation errors in various forms. Verify error state styling is consistent.,Error states show red borders and error text with correct styling.
"Open multiple components simultaneously (e.g. login card + entries list). Verify no unexpected styling changes between components. Check for generic class name conflicts (e.g. `.spinner`, `.hr-divider`).",Each component's styles are contained and do not affect unrelated components.
"Trigger various state changes (hover, focus, error). Verify correct style application.",Higher-specificity or later-defined styles correctly override lower-specificity styles.
Build and install on Android. Browse through all major screens. Compare with pre-refactor screenshots.,No visual differences compared to pre-refactor builds.
Build and install on iOS. Browse through all major screens. Compare with pre-refactor screenshots.,No visual differences compared to pre-refactor builds.
Build and serve PWA. Browse through all major screens in browser. Compare with pre-refactor screenshots.,No visual differences compared to pre-refactor builds.
